Facility	Address	City	State	Zip	Score	Mismatch	Facility	Address	City	State	Zip
Lawrence Memorial Hospital	325 Maine Street	Lawrence	KS	66044	100		Lawrence Memorial Hospital	325 Maine St	Lawrence	KS	66044
Susan B Allen Memorial Hospital	720 West Central Avenue	El Dorado	KS	67042	100		Susan B Allen Memorial Hospital	720 W Central Ave	El Dorado	KS	67042
Newton Medical Center	600 Medical Center Drive	Newton	KS	67114	100		Newton Medical Center	600 Medical Center Dr	Newton	KS	67114
Kansas Heart Hospital	3601 North Webb Road	Wichita	KS	67226	100		Kansas Heart Hospital	3601 N Webb Rd	Wichita	KS	67226
Norton Healthcare Kosair Childrens Hospital	231 East Chestnut Street	Louisville	KY	40202	100		Kosair Childrens Hospital	231 E Chestnut St	Louisville	KY	40202
KentuckyOne Health Saints Mary & Elizabeth Hospital	1850 Bluegrass Avenue	Louisville	KY	40215	100		Saints Mary & Elizabeth Hospital	1850 Bluegrass Ave	Louisville	KY	40215
Mercy Health Marcum and Wallace Memorial Hospital	60 Mercy Court	Irvine	KY	40336	100		Marcum and Wallace Memorial Hospita	60 Mercy Ct	Irvine	KY	40336
HCA Frankfort Regional Medical Center	299 Kings Daughters Drive	Frankfort	KY	40601	100		Frankfort Regional Medical Center	299 Kings Daughters Dr	Frankfort	KY	40601
LifePoint Hospitals Meadowview Regional Medical Center	989 Medical Park Drive	Maysville	KY	41056	100		Meadowview Regional Medical Center	989 Medical Park Dr	Maysville	KY	41056
IASIS Healthcare Glenwood Regional Medical Center	503 McMillan Road	West Monroe	LA	71291	100		Glenwood Regional Medical Center	503 McMillan Rd	West Monroe	LA	71291
Catholic Health East Sisters of Providence Health Mercy Medical Center	271 Carew Street	Springfield	MA	1104	100		Mercy Medical Center	271 Carew St	Springfield	MA	1104
Berkshire Health Fairview Hospital	29 Lewis Avenue	Great Barrington	MA	1230	100		Fairview Hospital	29 Lewis Ave	Great Barrington	MA	1230
New England Baptist Hospital	125 Parker Hill Avenue	Roxbury Crossing	MA	2120	100		New England Baptist Hospital	125 Parker Hill Ave	Roxbury Crossing	MA	2120
Mount Auburn Hospital	330 Mount Auburn Street	Cambridge	MA	2138	100		Mount Auburn Hospital	330 Mount Auburn St	Cambridge	MA	2138
Hallmark Health System Lawrence Memorial Hospital	170 Governors Avenue	Medford	MA	2155	100		Lawrence Memorial Hospital	170 Governors Ave	Medford	MA	2155
Doctors Community Hospital	8118 Good Luck Road	Lanham	MD	20706	100		Doctors Community Hospital	8118 Good Luck Rd	Lanham	MD	20706
Southern Maryland Hospital	7503 Surratts Road	Clinton	MD	20735	100		Southern Maryland Hospital Center	7503 Surratts Rd	Clinton	MD	20735
MedStar Health Montgomery General Hospital	18101 Prince Philip Drive	Olney	MD	20832	100		Montgomery General Hospital	18101 Prince Philip Dr	Olney	MD	20832
Sinai Hospital of Baltimore	2401 West Belvedere Avenue	Baltimore	MD	21215	100		Sinai Hospital of Baltimore	2401 W Belvedere Ave	Baltimore	MD	21215
MedStar Health Union Memorial Hospital	201 East University Parkway	Baltimore	MD	21218	100		MedStar Union Memorial Hospital	201 E University Pkwy	Baltimore	MD	21218
University of Maryland Medical System Chester River Hospital Center	100 Brown Street	Chestertown	MD	21620	100		Chester River Hospital Center	100 Brown St	Chestertown	MD	21620
Atlantic General Hospital	9733 Healthway Drive	Berlin	MD	21811	100		Atlantic General Hospital	9733 Healthway Dr	Berlin	MD	21811
York Hospital	15 Hospital Drive	York	ME	3909	100		York Hospital	15 Hospital Dr	York	ME	3909
St Marys Health System St Marys Regional Medical Center	93 Campus Avenue	Lewiston	ME	4240	100		St Marys Regional Medical Center	93 Campus Ave	Lewiston	ME	4240
St Joseph Healthcare St Joseph Hospital	360 Broadway	Bangor	ME	4401	100		St Joseph Hospital	360 Broadway	Bangor	ME	4401
Blue Hill Memorial Hospital	57 Water Street PO Box 823	Blue Hill	ME	4614	100		Blue Hill Memorial Hospital	57 Water St	Blue Hill	ME	4614
Mclaren Port Huron Hospital	1221 Pine Grove Avenue	Port Huron	MI	48060	100		McLaren Port Huron Hospital	1221 Pine Grove Ave	Port Huron	MI	48060
Huron Medical Hospital	1100 South Van Dyke Road	Bad Axe	MI	48413	100		Huron Medical Center	1100 S Van Dyke Rd	Bad Axe	MI	48413
Bronson Methodist Hospital	601 John Street	Kalamazoo	MI	49007	100		Bronson Methodist Hospital	601 John St	Kalamazoo	MI	49007
Bronson Battle Creek	300 North Avenue	Battle Creek	MI	49017	100		Bronson Battle Creek	300 North Ave	Battle Creek	MI	49017
Trinity Health Mercy Health St Marys Health Care	200 Jefferson Avenue Southeast	Grand Rapids	MI	49503	100		St Marys Health Care	200 Jefferson Ave SE	Grand Rapids	MI	49503
Metro Health Hospital	5900 Byron Center Avenue Southwest	Wyoming	MI	49519	100		Metro Health Hospital	5900 Byron Center Ave	Wyoming	MI	49519
LifePoint Hospitals Portage Health Systems	500 Campus Drive	Hancock	MI	49930	100		Portage Health	500 Campus Dr	Hancock	MI	49930
Regina Medical Center Senior	1175 Nininger Road	Hastings	MN	55033	100		Regina Medical Center	1175 Nininger Rd	Hastings	MN	55033
Essentia Health Virginia	901 9th Street North	Virginia	MN	55792	100		Essentia Health Virginia	901 9th St N	Virginia	MN	55792
St Lukes Hospital Chesterfield	232 South Woods Mill Road	Chesterfield	MO	63017	100		St Lukes Hospital	232 S Woods Mill Rd	Chesterfield	MO	63017
BJC HealthCare Christian Hospital	11133 Dunn Road	Saint Louis	MO	63136	100		Christian Hospital	11133 Dunn Rd	Saint Louis	MO	63136
Perry County Memorial Hospital	434 North West Street	Perryville	MO	63775	100		Perry County Memorial Hospital	434 N West St	Perryville	MO	63775
HCA Midwest Health System Centerpoint Medical Center	19600 East 39th Street	Independence	MO	64057	100		Centerpoint Medical Center	19600 E 39th St	Independence	MO	64057
HCA Midwest Health System Lees Summit Medical Center	2100 Southeast Blue Parkway	Lees Summit	MO	64063	100		Lees Summit Medical Center	2100 SE Blue Pkwy	Lees Summit	MO	64063
HCA Midwest Health System Research Medical Center	2316 East Meyer Boulevard	Kansas City	MO	64132	100		Research Medical Center	2316 E Meyer Blvd	Kansas City	MO	64132
Saint Lukes Health System Wright Memorial Hospital	191 Iowa Boulevard	Trenton	MO	64683	100		Wright Memorial Hospital	191 Iowa Blvd	Trenton	MO	64683
Baptist Memorial Health Care Baptist Memorial Hospital Desoto	7601 Southcrest Parkway	Southaven	MS	38671	100		Baptist Memorial Hospital - Desoto	7601 Southcrest Pkwy	Southaven	MS	38671
Health Management Associates Madison River Oaks Medical Center	161 River Oaks Drive	Canton	MS	39046	100		Madison River Oaks Medical Center	161 River Oaks Dr	Canton	MS	39046
Kings Daughters Hospital	823 Grand Avenue	Yazoo City	MS	39194	100		Kings Daughters Hospital of Yazoo C	823 Grand Ave	Yazoo City	MS	39194
Health Management Associates Central Mississippi Medical Center	1850 Chadwick Drive	Jackson	MS	39204	100		Central Mississippi Medical Center	1850 Chadwick Dr	Jackson	MS	39204
Glendive Medical Center	202 Prospect Drive	Glendive	MT	59330	100		Glendive Medical Center	202 Prospect Dr	Glendive	MT	59330
St James Healthcare	400 South Clark Street	Butte	MT	59701	100		St James Healthcare	400 S Clark St	Butte	MT	59701
Northern Hospital of Surry County	830 Rockford Street PO Box 1101	Mount Airy	NC	27030	100		Northern Hospital of Surry County	830 Rockford St	Mount Airy	NC	27030
Wake Forest Baptist Health Lexington Medical Center	250 Hospital Drive	Lexington	NC	27292	100		Wake Forest Baptist Health	250 Hospital Dr	Lexington	NC	27292
WakeMed Health and Hospitals Raleigh Campus	3000 New Bern Avenue	Raleigh	NC	27610	100		WakeMed Raleigh Campus	3000 New Bern Ave	Raleigh	NC	27610
Vidant Health Beaufort Hospital	628 East 12th Street	Washington	NC	27889	100		Vidant Beaufort Hospital	628 E 12th St	Washington	NC	27889
Vidant Health Roanoke Chowan Hospital	500 South Academy Street	Ahoskie	NC	27910	100		Vidant Roanoke-Chowan Hospital	500 S Academy St	Ahoskie	NC	27910
Vidant Health Chowan Hospital	211 Virginia Road	Edenton	NC	27932	100		Vidant Chowan Hospital	211 Virginia Rd	Edenton	NC	27932
Vidant Health Bertie Hospital	1403 South King Street	Windsor	NC	27983	100		Vidant Bertie Hospital	1403 S King St	Windsor	NC	27983
Rutherford Hospital Inc	288 South Ridgecrest Avenue	Rutherfordton	NC	28139	100		Rutherford Hospital	288 S Ridgecrest Ave	Rutherfordton	NC	28139
Carolinas HealthCare System Cleveland Regional Medical Center	201 East Grover Street	Shelby	NC	28150	100		Cleveland Regional Medical Center	201 E Grover St	Shelby	NC	28150
Carolinas HealthCare System Carolinas Medical Center Mercy	2001 Vail Avenue	Charlotte	NC	28207	100		Carolinas Medical Center - Mercy	2001 Vail Ave	Charlotte	NC	28207
Vidant Health Duplin Hospital	401 North Main Street and Highway 11	Kenansville	NC	28349	100		Vidant Duplin Hospital	401 N Main St	Kenansville	NC	28349
Carolinas Healthcare Columbus Regional Healthcare System	500 Jefferson Street	Whiteville	NC	28472	100		Columbus Regional Healthcare System	500 Jefferson St	Whiteville	NC	28472
United States Navy Naval Hospital Camp Lejeune	100 Brewster Boulevard	Camp Lejeune	NC	28547	100		Naval Hospital	100 Brewster Blvd	Camp Lejeune	NC	28547
Hugh Chatham Memorial Hospital	180 Parkwood Drive PO Box 560	Elkin	NC	28621	100		Hugh Chatham Memorial Hospital	180 Parkwood Dr	Elkin	NC	28621
Carolinas HealthCare System MedWest Harris Regional Hospital	68 Hospital Road	Sylva	NC	28779	100		MedWest Harris Regional Hospital	68 Hospital Rd	Sylva	NC	28779
West River Health Services	1000 Highway 12	Hettinger	ND	58639	100		West River Regional Medical Center	1000 Highway 12	Hettinger	ND	58639
Catholic Health Initiatives Mercy Medical Center Williston	1301 15th Avenue West	Williston	ND	58801	100		Mercy Medical Center	1301 15th Ave W	Williston	ND	58801
Jefferson Community	2200 H Street	Fairbury	NE	68352	100		Jefferson Community Health Center	2200 H St	Fairbury	NE	68352
Jennie M Melham Memorial Medical Center	145 Memorial Drive	Broken Bow	NE	68822	100		Jennie M Melham Memorial Medical Ce	145 Memorial Dr	Broken Bow	NE	68822
Brown County Hospital	945 East Zero Street	Ainsworth	NE	69210	100		Brown County Hospital	945 E Zero St	Ainsworth	NE	69210
HCA Parkland Medical Center	1 Parkland Drive	Derry	NH	3038	100		Parkland Medical Center	1 Parkland Dr	Derry	NH	3038
Littleton Regional Hospital	600 Saint Johnsbury Road	Littleton	NH	3561	100		Littleton Regional Hospital	600 Saint Johnsbury Rd	Littleton	NH	3561
Memorial Hospital	3073 White Mountain Highway	North Conway	NH	3860	100		The Memorial Hospital	3073 White Mountain Hwy	North Conway	NH	3860
Catholic Health East Saint Michaels Medical Center	111 Central Avenue	Newark	NJ	7102	100		Saint Michaels Medical Center	111 Central Ave	Newark	NJ	7102
NewYork Presbyterian Healthcare System Holy Name Medical Center	718 Teaneck Road	Teaneck	NJ	7666	100		Holy Name Medical Center	718 Teaneck Rd	Teaneck	NJ	7666
Saint Clares Health System Saint Clares Hospital Dover	400 West Blackwell Street	Dover	NJ	7801	100		Saint Clares Hospital - Dover	400 W Blackwell St	Dover	NJ	7801
Deborah Heart and Lung Center	200 Trenton Road	Browns Mills	NJ	8015	100		Deborah Heart & Lung Center	200 Trenton Rd	Browns Mills	NJ	8015
Cape Regional Medical Center	2 Stone Harbor Boulevard	Cape May Court House	NJ	8210	100		Cape Regional Medical Center	2 Stone Harbor Blvd	Cape May Court House	NJ	8210
Inspira Medical Center Vineland	1505 West Sherman Avenue	Vineland	NJ	8360	100		Inspira Medical Center Vineland	1505 W Sherman Ave	Vineland	NJ	8360
