,Facility,Address,City,State,Zip,Score,Mismatch,Facility.1,Address.1,City.1,State.1,Zip.1,Flag,Str1,Str2
24,FLOWERS HOSPITAL,4370 W MAIN ST,DOTHAN,AL,36305,100.0,,Flowers Hospital,4370 W Main St,Dothan,AL,36305,y,"FLOWERS HOSPITAL, 4370 W MAIN ST, DOTHAN, AL, 36305","Flowers Hospital, 4370 W Main St, Dothan, AL, 36305"
25,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVE,BREWTON,AL,36426,100.0,,D W McMillan Memorial Hospital,1301 Belleville Ave,Brewton,AL,36426,y,"D W MCMILLAN MEMORIAL HOSPITAL, 1301 BELLEVILLE AVE, BREWTON, AL, 36426","D W McMillan Memorial Hospital, 1301 Belleville Ave, Brewton, AL, 36426"
27,USA CHILDRENS AND WOMENS HOSP,1700 CENTER ST,Mobile,AL,36604,100.0,,U S A Childrens and Womens Hospital,1700 Center St,Mobile,AL,36604,y,"USA CHILDRENS AND WOMENS HOSP, 1700 CENTER ST, Mobile, AL, 36604","U S A Childrens and Womens Hospital, 1700 Center St, Mobile, AL, 36604"
28,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIR,Mobile,AL,36607,100.0,,Mobile Infirmary Medical Center,5 Mobile Infirmary Cir,Mobile,AL,36607,y,"MOBILE INFIRMARY MEDICAL CENTER, 5 MOBILE INFIRMARY CIR, Mobile, AL, 36607","Mobile Infirmary Medical Center, 5 Mobile Infirmary Cir, Mobile, AL, 36607"
29,SPRINGHILL MEDICAL CTR,3719 DAUPHIN ST,Mobile,AL,36608,100.0,,Springhill Memorial Hospital,3719 Dauphin St,Mobile,AL,36608,y,"SPRINGHILL MEDICAL CTR, 3719 DAUPHIN ST, Mobile, AL, 36608","Springhill Memorial Hospital, 3719 Dauphin St, Mobile, AL, 36608"
30,PROVIDENCE HOSPITAL,6801 AIRPORT BLVD,Mobile,AL,36608,100.0,,Providence Hospital,6801 Airport Blvd,Mobile,AL,36608,y,"PROVIDENCE HOSPITAL, 6801 AIRPORT BLVD, Mobile, AL, 36608","Providence Hospital, 6801 Airport Blvd, Mobile, AL, 36608"
31,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PKWY,OPELIKA,AL,36801,100.0,,East Alabama Medical Center,2000 Pepperell Pkwy,Opelika,AL,36801,y,"EAST ALABAMA MEDICAL CENTER, 2000 PEPPERELL PKWY, OPELIKA, AL, 36801","East Alabama Medical Center, 2000 Pepperell Pkwy, Opelika, AL, 36801"
32,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY RD,CROSSETT,AR,71635,100.0,,Ashley County Medical Center,1015 Unity Rd,Crossett,AR,71635,y,"ASHLEY COUNTY MEDICAL CENTER, 1015 UNITY RD, CROSSETT, AR, 71635","Ashley County Medical Center, 1015 Unity Rd, Crossett, AR, 71635"
34,ADVANCE CARE HOSPITAL,300 WERNER ST,HOT SPRINGS NATIONAL PARK,AR,71913,100.0,,Advance Care Hospital of Hot Spring,300 Werner St,Hot Springs,AR,71913,y,"ADVANCE CARE HOSPITAL, 300 WERNER ST, HOT SPRINGS NATIONAL PARK, AR, 71913","Advance Care Hospital of Hot Spring, 300 Werner St, Hot Springs, AR, 71913"
35,BAPTIST HEALTH MEDICAL CENTER,3333 SPRINGHILL DR,NORTH LITTLE ROCK,AR,72117,100.0,,Baptist Health Medical Center - Nor,3333 Springhill Dr,North Little Rock,AR,72117,y,"BAPTIST HEALTH MEDICAL CENTER, 3333 SPRINGHILL DR, NORTH LITTLE ROCK, AR, 72117","Baptist Health Medical Center - Nor, 3333 Springhill Dr, North Little Rock, AR, 72117"
36,WHITE COUNTY MEDICAL CENTER,1200 S MAIN ST,SEARCY,AR,72143,100.0,,White County Medical Center - South,1200 S Main St,Searcy,AR,72143,y,"WHITE COUNTY MEDICAL CENTER, 1200 S MAIN ST, SEARCY, AR, 72143","White County Medical Center - South, 1200 S Main St, Searcy, AR, 72143"
37,WHITE COUNTY MEDICAL CENTER,3214 E RACE AVE,SEARCY,AR,72143,100.0,,White County Medical Center,3214 E Race Ave,Searcy,AR,72143,y,"WHITE COUNTY MEDICAL CENTER, 3214 E RACE AVE, SEARCY, AR, 72143","White County Medical Center, 3214 E Race Ave, Searcy, AR, 72143"
38,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD RD,LITTLE ROCK,AR,72211,100.0,,Arkansas Heart Hospital,1701 S Shackleford Rd,Little Rock,AR,72211,y,"ARKANSAS HEART HOSPITAL, 1701 S SHACKLEFORD RD, LITTLE ROCK, AR, 72211","Arkansas Heart Hospital, 1701 S Shackleford Rd, Little Rock, AR, 72211"
39,WHITE RIVER MEDICAL CENTER,1710 HARRISON ST,BATESVILLE,AR,72501,100.0,,White River Medical Center,1710 Harrison St,Batesville,AR,72501,y,"WHITE RIVER MEDICAL CENTER, 1710 HARRISON ST, BATESVILLE, AR, 72501","White River Medical Center, 1710 Harrison St, Batesville, AR, 72501"
44,PHOENIX INDIAN MEDICAL CENTER,4212 N 16TH ST,PHOENIX,AZ,85016,100.0,,Phoenix Indian Medical Center,4212 N 16th St,Phoenix,AZ,85016,y,"PHOENIX INDIAN MEDICAL CENTER, 4212 N 16TH ST, PHOENIX, AZ, 85016","Phoenix Indian Medical Center, 4212 N 16th St, Phoenix, AZ, 85016"
45,JOHN C LINCOLN HOSPITAL DEER VALLEY,19829 N 27TH AVE,PHOENIX,AZ,85027,100.0,,John C Lincoln Hospital - Deer Vall,19829 N 27th Ave,Phoenix,AZ,85027,y,"JOHN C LINCOLN HOSPITAL DEER VALLEY, 19829 N 27TH AVE, PHOENIX, AZ, 85027","John C Lincoln Hospital - Deer Vall, 19829 N 27th Ave, Phoenix, AZ, 85027"
46,BANNER ESTRELLA MEDICAL CENTER,9201 W THOMAS RD,PHOENIX,AZ,85037,100.0,,Banner Estrella Medical Center,9201 W Thomas Rd,Phoenix,AZ,85037,y,"BANNER ESTRELLA MEDICAL CENTER, 9201 W THOMAS RD, PHOENIX, AZ, 85037","Banner Estrella Medical Center, 9201 W Thomas Rd, Phoenix, AZ, 85037"
48,BANNER DESERT MEDICAL CENTER,1400 S DOBSON RD,MESA,AZ,85202,100.0,,Banner Desert Medical Center,1400 S Dobson Rd,Mesa,AZ,85202,y,"BANNER DESERT MEDICAL CENTER, 1400 S DOBSON RD, MESA, AZ, 85202","Banner Desert Medical Center, 1400 S Dobson Rd, Mesa, AZ, 85202"
49,BANNER BAYWOOD MEDICAL CENTER,6644 E BAYWOOD AVE,MESA,AZ,85206,100.0,,Banner Baywood Medical Center,6644 E Baywood Ave,Mesa,AZ,85206,y,"BANNER BAYWOOD MEDICAL CENTER, 6644 E BAYWOOD AVE, MESA, AZ, 85206","Banner Baywood Medical Center, 6644 E Baywood Ave, Mesa, AZ, 85206"
50,BANNER GATEWAY MEDICAL CENTER,1900 N HIGLEY RD,GILBERT,AZ,85234,100.0,,Banner Gateway Medical Center,1900 N Higley Rd,Gilbert,AZ,85234,y,"BANNER GATEWAY MEDICAL CENTER, 1900 N HIGLEY RD, GILBERT, AZ, 85234","Banner Gateway Medical Center, 1900 N Higley Rd, Gilbert, AZ, 85234"
52,SCOTTSDALE HEALTHCARE THOMPSON PEAK,7400 E THOMPSON PEAK PKWY,SCOTTSDALE,AZ,85255,100.0,,Scottsdale Healthcare Thompson Peak,7400 E Thompson Peak Pkwy,Scottsdale,AZ,85255,y,"SCOTTSDALE HEALTHCARE THOMPSON PEAK, 7400 E THOMPSON PEAK PKWY, SCOTTSDALE, AZ, 85255","Scottsdale Healthcare Thompson Peak, 7400 E Thompson Peak Pkwy, Scottsdale, AZ, 85255"
53,SCOTTSDALE HEALTHCARE - SHEA,9003 E SHEA BLVD,SCOTTSDALE,AZ,85260,100.0,,Scottsdale Healthcare -  Shea,9003 E Shea Blvd,Scottsdale,AZ,85260,y,"SCOTTSDALE HEALTHCARE - SHEA, 9003 E SHEA BLVD, SCOTTSDALE, AZ, 85260","Scottsdale Healthcare -  Shea, 9003 E Shea Blvd, Scottsdale, AZ, 85260"
54,BANNER THUNDERBIRD MEDICAL CENTER,5555 W THUNDERBIRD RD,GLENDALE,AZ,85306,100.0,,Banner Thunderbird Medical Center,5555 W Thunderbird Rd,Glendale,AZ,85306,y,"BANNER THUNDERBIRD MEDICAL CENTER, 5555 W THUNDERBIRD RD, GLENDALE, AZ, 85306","Banner Thunderbird Medical Center, 5555 W Thunderbird Rd, Glendale, AZ, 85306"
57,BANNER BOSWELL MEDICAL CENTER,10401 W THUNDERBIRD BLVD,SUN CITY,AZ,85351,100.0,,Banner Boswell Medical Center,10401 W Thunderbird Blvd,Sun City,AZ,85351,y,"BANNER BOSWELL MEDICAL CENTER, 10401 W THUNDERBIRD BLVD, SUN CITY, AZ, 85351","Banner Boswell Medical Center, 10401 W Thunderbird Blvd, Sun City, AZ, 85351"
58,YUMA REGIONAL MEDICAL CENTER,2400 S AVENUE A,YUMA,AZ,85364,100.0,,Yuma Regional Medical Center,2400 S Avenue A,Yuma,AZ,85364,y,"YUMA REGIONAL MEDICAL CENTER, 2400 S AVENUE A, YUMA, AZ, 85364","Yuma Regional Medical Center, 2400 S Avenue A, Yuma, AZ, 85364"
59,WICKENBURG COMMUNITY HOSPITAL,520 ROSE LN,WICKENBURG,AZ,85390,100.0,,Wickenburg Community Hospital,520 Rose Ln,Wickenburg,AZ,85390,y,"WICKENBURG COMMUNITY HOSPITAL, 520 ROSE LN, WICKENBURG, AZ, 85390","Wickenburg Community Hospital, 520 Rose Ln, Wickenburg, AZ, 85390"
60,PAYSON REGIONAL MEDICAL CENTER,807 S PONDEROSA ST,PAYSON,AZ,85541,100.0,,Payson Regional Medical Center,807 S Ponderosa St,Payson,AZ,85541,y,"PAYSON REGIONAL MEDICAL CENTER, 807 S PONDEROSA ST, PAYSON, AZ, 85541","Payson Regional Medical Center, 807 S Ponderosa St, Payson, AZ, 85541"
62,TUCSON MEDICAL CENTER,5301 E GRANT RD,TUCSON,AZ,85712,100.0,,Tucson Medical Center,5301 E Grant Rd,Tucson,AZ,85712,y,"TUCSON MEDICAL CENTER, 5301 E GRANT RD, TUCSON, AZ, 85712","Tucson Medical Center, 5301 E Grant Rd, Tucson, AZ, 85712"
63,CARONDELET ST MARYS HOSP,1601 W SAINT MARYS RD,TUCSON,AZ,85745,100.0,,Carondelet St Marys Hospital & Heal,1601 W Saint Marys Rd,Tucson,AZ,85745,y,"CARONDELET ST MARYS HOSP, 1601 W SAINT MARYS RD, TUCSON, AZ, 85745","Carondelet St Marys Hospital & Heal, 1601 W Saint Marys Rd, Tucson, AZ, 85745"
64,BANNER PAGE HOSPITAL PHS,501 N NAVAJO DR,PAGE,AZ,86040,100.0,,Page Hospital,501 N Navajo Dr,Page,AZ,86040,y,"BANNER PAGE HOSPITAL PHS, 501 N NAVAJO DR, PAGE, AZ, 86040","Page Hospital, 501 N Navajo Dr, Page, AZ, 86040"
65,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK RD,PRESCOTT,AZ,86301,100.0,,Yavapai Regional Medical Center,1003 Willow Creek Rd,Prescott,AZ,86301,y,"YAVAPAI REGIONAL MEDICAL CENTER, 1003 WILLOW CREEK RD, PRESCOTT, AZ, 86301","Yavapai Regional Medical Center, 1003 Willow Creek Rd, Prescott, AZ, 86301"
67,LOS ANGELES COUNTY / USC MEDICAL CE,1200 N STATE ST RM A1C109,LOS ANGELES,CA,90033,100.0,,Los Angeles County -  U S C Medical,1200 N State St,Los Angeles,CA,90033,y,"LOS ANGELES COUNTY / USC MEDICAL CE, 1200 N STATE ST RM A1C109, LOS ANGELES, CA, 90033","Los Angeles County -  U S C Medical, 1200 N State St, Los Angeles, CA, 90033"
69,OLYMPIA MEDICAL CENTER,5900 W OLYMPIC BLVD,LOS ANGELES,CA,90036,100.0,,Olympia Medical Center,5900 W Olympic Blvd,Los Angeles,CA,90036,y,"OLYMPIA MEDICAL CENTER, 5900 W OLYMPIC BLVD, LOS ANGELES, CA, 90036","Olympia Medical Center, 5900 W Olympic Blvd, Los Angeles, CA, 90036"
70,CEDARS SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,90048,100.0,,Cedars Sinai Medical Center,8700 Beverly Blvd,Los Angeles,CA,90048,y,"CEDARS SINAI MEDICAL CENTER, 8700 BEVERLY BLVD, LOS ANGELES, CA, 90048","Cedars Sinai Medical Center, 8700 Beverly Blvd, Los Angeles, CA, 90048"
71,KINDRED HOSPITAL LOS ANGELES,5525 W SLAUSON AVE,LOS ANGELES,CA,90056,100.0,,Kindred Hospital - Los Angeles,5525 W Slauson Ave,Los Angeles,CA,90056,y,"KINDRED HOSPITAL LOS ANGELES, 5525 W SLAUSON AVE, LOS ANGELES, CA, 90056","Kindred Hospital - Los Angeles, 5525 W Slauson Ave, Los Angeles, CA, 90056"
72,ST VINCENT MEDICAL CENTER,2131 W 3RD ST,LOS ANGELES,CA,90057,100.0,,St Vincent Medical Center,2131 W 3rd St,Los Angeles,CA,90057,y,"ST VINCENT MEDICAL CENTER, 2131 W 3RD ST, LOS ANGELES, CA, 90057","St Vincent Medical Center, 2131 W 3rd St, Los Angeles, CA, 90057"
73,LITTLE COMPANY OF MARY HOSPITAL,4101 TORRANCE BLVD,TORRANCE,CA,90503,100.0,,Little Company Of Mary Hospital,4101 Torrance Blvd,Torrance,CA,90503,y,"LITTLE COMPANY OF MARY HOSPITAL, 4101 TORRANCE BLVD, TORRANCE, CA, 90503","Little Company Of Mary Hospital, 4101 Torrance Blvd, Torrance, CA, 90503"
74,PRESBYTERIAN INTERCOMMUNITY HOSP,12401 WASHINGTON BLVD,WHITTIER,CA,90602,100.0,,Presbyterian Intercommunity Hospita,12401 Washington Blvd,Whittier,CA,90602,y,"PRESBYTERIAN INTERCOMMUNITY HOSP, 12401 WASHINGTON BLVD, WHITTIER, CA, 90602","Presbyterian Intercommunity Hospita, 12401 Washington Blvd, Whittier, CA, 90602"
75,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER ST,LA PALMA,CA,90623,100.0,,La Palma Intercommunity Hospital,7901 Walker St,La Palma,CA,90623,y,"LA PALMA INTERCOMMUNITY HOSPITAL, 7901 WALKER ST, LA PALMA, CA, 90623","La Palma Intercommunity Hospital, 7901 Walker St, La Palma, CA, 90623"
76,BEVERLY HOSPITAL,309 W BEVERLY BLVD,MONTEBELLO,CA,90640,100.0,,Beverly Hospital,309 W Beverly Blvd,Montebello,CA,90640,y,"BEVERLY HOSPITAL, 309 W BEVERLY BLVD, MONTEBELLO, CA, 90640","Beverly Hospital, 309 W Beverly Blvd, Montebello, CA, 90640"
77,LOS ALAMITOS MEDICAL CENTER,3751 KATELLA AVE,LOS ALAMITOS,CA,90720,100.0,,Los Alamitos Medical Center,3751 Katella Ave,Los Alamitos,CA,90720,y,"LOS ALAMITOS MEDICAL CENTER, 3751 KATELLA AVE, LOS ALAMITOS, CA, 90720","Los Alamitos Medical Center, 3751 Katella Ave, Los Alamitos, CA, 90720"
79,ST MARY MEDICAL CENTER,1050 LINDEN AVE,LONG BEACH,CA,90813,100.0,,St Mary Medical Center,1050 Linden Ave,Long Beach,CA,90813,y,"ST MARY MEDICAL CENTER, 1050 LINDEN AVE, LONG BEACH, CA, 90813","St Mary Medical Center, 1050 Linden Ave, Long Beach, CA, 90813"
80,HUNTINGTON MEMORIAL HOSPITAL,100 W CALIFORNIA BLVD,PASADENA,CA,91105,100.0,,Huntington Memorial Hospital,100 W California Blvd,Pasadena,CA,91105,y,"HUNTINGTON MEMORIAL HOSPITAL, 100 W CALIFORNIA BLVD, PASADENA, CA, 91105","Huntington Memorial Hospital, 100 W California Blvd, Pasadena, CA, 91105"
81,GLENDALE MEMORIAL HOSPITAL AND HEALTH CE,1420 S CENTRAL AVE,GLENDALE,CA,91204,100.0,,Glendale Memorial Hospital & Health,1420 S Central Ave,Glendale,CA,91204,y,"GLENDALE MEMORIAL HOSPITAL AND HEALTH CE, 1420 S CENTRAL AVE, GLENDALE, CA, 91204","Glendale Memorial Hospital & Health, 1420 S Central Ave, Glendale, CA, 91204"
82,VERDUGO HILLS HOSP,1812 VERDUGO BLVD,GLENDALE,CA,91208,100.0,,Verdugo Hills Hospital,1812 Verdugo Blvd,Glendale,CA,91208,y,"VERDUGO HILLS HOSP, 1812 VERDUGO BLVD, GLENDALE, CA, 91208","Verdugo Hills Hospital, 1812 Verdugo Blvd, Glendale, CA, 91208"
83,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NORTHRIDGE,CA,91325,100.0,,Northridge Hospital Medical Center,18300 Roscoe Blvd,Northridge,CA,91325,y,"NORTHRIDGE HOSPITAL MEDICAL CENTER, 18300 ROSCOE BLVD, NORTHRIDGE, CA, 91325","Northridge Hospital Medical Center, 18300 Roscoe Blvd, Northridge, CA, 91325"
85,HENRY MAYO NEWHALL MEMORIAL HOSP,23845 MCBEAN PKWY,VALENCIA,CA,91355,100.0,,Henry Mayo Newhall Memorial Hospita,23845 McBean Pkwy,Valencia,CA,91355,y,"HENRY MAYO NEWHALL MEMORIAL HOSP, 23845 MCBEAN PKWY, VALENCIA, CA, 91355","Henry Mayo Newhall Memorial Hospita, 23845 McBean Pkwy, Valencia, CA, 91355"
86,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK ST,TARZANA,CA,91356,100.0,,Providence Tarzana Medical Center,18321 Clark St,Tarzana,CA,91356,y,"PROVIDENCE TARZANA MEDICAL CENTER, 18321 CLARK ST, TARZANA, CA, 91356","Providence Tarzana Medical Center, 18321 Clark St, Tarzana, CA, 91356"
88,CALIFORNIA INSTITUTION FOR MEN,14901 CENTRAL AVE,CHINO,CA,91710,100.0,,California Institution for Men Hosp,14901 Central Ave,Chino,CA,91710,y,"CALIFORNIA INSTITUTION FOR MEN, 14901 CENTRAL AVE, CHINO, CA, 91710","California Institution for Men Hosp, 14901 Central Ave, Chino, CA, 91710"
89,FOOTHILL PRESBYTERIAN HOSP,250 S GRAND AVE,GLENDORA,CA,91741,100.0,,Foothill Presbyterian Hospital,250 S Grand Ave,Glendora,CA,91741,y,"FOOTHILL PRESBYTERIAN HOSP, 250 S GRAND AVE, GLENDORA, CA, 91741","Foothill Presbyterian Hospital, 250 S Grand Ave, Glendora, CA, 91741"
90,GARFIELD MEDICAL CENTER,525 N GARFIELD AVE,MONTEREY PARK,CA,91754,100.0,,Garfield Medical Center,525 N Garfield Ave,Monterey Park,CA,91754,y,"GARFIELD MEDICAL CENTER, 525 N GARFIELD AVE, MONTEREY PARK, CA, 91754","Garfield Medical Center, 525 N Garfield Ave, Monterey Park, CA, 91754"
91,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DR,SAN GABRIEL,CA,91776,100.0,,San Gabriel Valley Medical Center,438 W Las Tunas Dr,San Gabriel,CA,91776,y,"SAN GABRIEL VALLEY MEDICAL CENTER, 438 W LAS TUNAS DR, SAN GABRIEL, CA, 91776","San Gabriel Valley Medical Center, 438 W Las Tunas Dr, San Gabriel, CA, 91776"
93,ALHAMBRA HOSPITAL,100 S RAYMOND AVE,ALHAMBRA,CA,91801,100.0,,Alhambra Hospital,100 S Raymond Ave,Alhambra,CA,91801,y,"ALHAMBRA HOSPITAL, 100 S RAYMOND AVE, ALHAMBRA, CA, 91801","Alhambra Hospital, 100 S Raymond Ave, Alhambra, CA, 91801"
94,SCRIPPS MERCY HOSPITAL CHULA VISTA,435 H ST,CHULA VISTA,CA,91910,100.0,,Scripps Mercy Hospital-Chula Vista,435 H St,Chula Vista,CA,91910,y,"SCRIPPS MERCY HOSPITAL CHULA VISTA, 435 H ST, CHULA VISTA, CA, 91910","Scripps Mercy Hospital-Chula Vista, 435 H St, Chula Vista, CA, 91910"
95,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER CT,CHULA VISTA,CA,91911,100.0,,Sharp Chula Vista Medical Center,751 Medical Center Ct,Chula Vista,CA,91911,y,"SHARP CHULA VISTA MEDICAL CENTER, 751 MEDICAL CENTER CT, CHULA VISTA, CA, 91911","Sharp Chula Vista Medical Center, 751 Medical Center Ct, Chula Vista, CA, 91911"
